Dog Racing;course de chiens
pinworm;oxyure (vers)
pipe;tuyau
pipe organ;tuyau d'orgue
pipe smoker;fumeur de pipe
pipe wrench;clé à pipe
pirate ship;navire pirate
piste (ski run);piste (ski)
pistol;pistolet
pistol grip;poignée de pistolet
piston;piston
piston ring;segment de piston
piston rod;tige de piston
pitch pipe;diapason à bouche
pitcher's mound;monticule du lanceur
pitching coach (baseball);entraîneur (baseball)
pith hat;casque colonial
pizzeria;pizzeria
placoderm (fish);placoderme (poisson)
plain;plaine
planarian;planaire (vers)
planchet;flan (monnaie)
planetarium;planétarium
planking;platelage
planner (notebook);planificateur (cahier)
plant;plante
plaque;plaque
plaster;plâtre
plasterboard;placoplâtre
plasterer;plâtrier
plastic film;film plastique
plate;assiette
plate rack;égouttoir
platform;plate-forme
Platform Diving;plateforme de plongée
plating;placage
player;joueur
playground;cour de récréation
playground slide;toboggan de jeu
playpen;parc d'enfant
plow;charrue
plow horse;cheval de labour
plug;prise de courant
plughole;bonde
pocket;poche
pocket battleship;cuirassé de poche
pocket watch;montre de poche
pocketcomb;gilet de poche
pocketknife;couteau de poche
pogo stick;échasse à ressort
pointed arch;arc brisé
pole;pôle
pole vaulter;sauteur à la perche
police boat;bateau de police
police dog;chien policier
policeman;policier
poliovirus;poliovirus
politician;politicien
pollard;têtard
polling booth;isoloir
polo;polo
polo pony;poney de polo
polonaise (women's dress);polonaise (robe féminine)
polygon;polygone
polygraph;polygraphe
pompadour hairstyle;coiffure pompadour
Pond;étang
pontoon bridge;pont flottant
pony-trekking;trekking
pooch dog;chien
poodle dog;chien caniche
poolroom;billard
poop deck (ship);dunette (navire)
porcelain;porcelaine
porch;porche
porcupine;porc-épic
porkpie hat;chapeau pork pie
porpoise;marsouin
porringer bowl;écuelle (bol)
portable computer;ordinateur portable
portable typewriter;machine à écrire portable
portal site;site portail
portcullis (gate of castle);herse (porte de château)
portfolio;portefeuille
porthole;hublot
portico(front of building);portique (façade de bâtiment)
portiere  (curtain);rideau de porte
portrait;portrait
portrait painter;portraitiste
portrait photo;photo portrait
portrait picture;portrait photo
positron emission tomography scanner;scanner de tomographie par émission de positrons
post;poteau
post and lintel;poteau et linteau
pot;pot
potbelly stove;réchaud
poteen;whisky (poteen)
potentiometer;potentiomètre
pothole (road);nid de poule (route)
potsherd (pottery);fragment de poterie
pouch;poche
pouched mammal;marsupiaux
powder and shot (ammunition);poudre et plomb (munitions)
powder flask (for gunpowder);flacon de poudre (à canon)
powdered milk;lait en poudre
power line;ligne électrique
power loom;métier à tisser
power saw;scie électrique
power shovel;pelle mécanique
power tool;outil électrique
precipice;précipice
premature baby;prématuré (bébé)
prenatal;prénatal
presence chamber;salle de réception
President of the United States;président des Etats-Unis
press box;tribune de la presse
press photographer;photographe de presse
pressure suit;combinaison pressurisée
pricket (candle holder);chandelier (bougeoir)
prima ballerina;danseuse étoile
primitive man;homme primitif
Primus stove;réchaud de camping
Prince of Wales;Prince de Galles
print;impression
print media;presse écrite
printed circuit;circuit imprimé
printer;imprimante
printing press;presse d'imprimerie
prison camp;camp de prisonniers
private;soldat de seconde classe
production line;ligne de production
professional baseball;baseball professionnel
professional golf;golf professionnel
professional wrestling;lutte professionnelle
projectile;projectile
projector;projecteur
prokaryote (organism);procaryote (organisme)
Promenade;promenade (esplanade)
prong;pointe
proof spirit;alcool à 60
propeller;hélice
proscenium arch;arc d'avant-scène
proscenium wall;mur d'avant-scène
prospector;prospecteur
prosthetic device;dispositif prothétique
protective covering;revêtement de protection
protector (person);protecteur (personne)
protractor;rapporteur (angle)
Przewalski's horse;cheval de Przewalski
Public Building;bâtiment public
public toilet;toilette publique
public transport;transport public
pull (handle);poignée
pulley;poulie
Pullman car;voiture Pullman
pulp magazine;magazine populaire
pulque;pulque
pump;pompe
punch;poinçon
punch bowl;bol à punch
punching bag;sac de boxe
punt boat;barque
pup tent;tente-abri
puppeteer;marionnettiste
purl stitch;maille à l'envers
push button;bouton poussoir
push-bike;trottinette
pushball;pushball (jeu)
puzzle;puzzle
pylon;pylône
pyralid moth;pyrale (papillon)
Pyramids;pyramides
pyrograph (design);pyrographe
python;python
pyxis (box);pyxide (boîte)
quadrangle;quadrilatère
quadrant;quadrant
quadrate;quadratique
quadruped (4 legged);quadrupède
quadruplet;quadruplé
quartermaster;intendant
quartz battery;pile bouton
queen;reine
queen (playing cards);reine (cartes à jouer)
queen consort;reine consort
queen mother;reine mère
Queen of England;Reine d'Angleterre
quill pen;plume d'oie
quilted bedspread;couvre-lit matelassé
quipu calculator;quipu (machine à calculer)
quiver;carquois
quoin (or arch);angle de mur
rabbit hutch;clapier
race car;voiture de course
Racecourse;hippodrome
racehorse;cheval de course
Raceway;circuit de course
racing;courses
racing boat;bateau de course
racing gig;aviron (bateau)
rack;grille
racket;raquette
racquetball;racquetball (sport)
radar;radar
radial engine;moteur radial
radiator;radiateur
radio antenna;antenne radio
radio interferometer;interféromètre radio
radio telescope;radiotélescope
radio-phonograph;radio-phonographe
radio/tv set;meuble radio-télévision
radiogram;radiogramme
radiologist;radiologue
radiometer;radiomètre
radiotelegraph;radiotélégraphe
radome;radome
raft;radeau
rafter;chevron
rail;rail
rail fence;clôture en lisse
railcar;wagon
railing;balustrade
railroad bed;lit de voie ferrée
railroad tie;traverse de chemin de fer
railroad tunnel;tunnel de chemin de fer
rails (runway);rails (piste)
Railway;chemin de fer
raincoat;imperméable
Rainforest;forêt tropicale
ramekin;ramequin
ramp;rampe
rampart;rempart
rapier sword;rapière (épée)
rat;rat
rattan;rotin
rattrap;piège à rats
raven;corbeau
ray;rayon
razorblade;lame de rasoir
reader;lecteur
reading desk;bureau de lecture
reading lamp;lampe de lecture
reading room;salle de lecture
reading teacher;professeur de lecture
readout;afficheur
rear admiral;contre-amiral
rearview mirror;rétroviseur
receptacle;réceptacle
reception desk;réception
reception room;salle de réception
recess;alcôve
reciprocating engine;moteur alternatif
record player;tourne-disque
record sleeve;pochette de disque
recorder;enregistreur
recording;enregistrement
recreation room;salle de récréation
recycling plant;usine de recyclage
red deer;cerf élaphe
red wine;vin rouge
red-spotted purple butterfly;amiral (papillon)
reel (fish rod);moulinet (canne à pêche)
refectory (dining hall);réfectoire (salle à manger)
referee;arbitre
refinery;raffinerie
reflecting telescope;télescope à réflexion
reflector;réflecteur
reflux condenser;condenseur à reflux
reformer instrument;machine de renforcement musculaire
refracting telescope;lunette astronomique
refractometer;réfractomètre
refrigerator;réfrigérateur
refrigerator car;wagon réfrigéré
refugee camp;camp de réfugiés
regimentals;régiments
Regius professor;professeur Regius
regulator device;dispositif régulateur
rein (horse);rêne
religion related;religieux
religious building;édifice religieux
religious residence;résidence religieuse
religious site;site religieux
religious symbol;symbole religieux
reliquary container;reliquaire
remount horse;remonte (équitation)
Reoviridae (virus);Reoviridae (virus)
reovirus;réovirus
repair person;réparateur
repair shop;atelier de réparation
repairer;réparateur
repository (monument);tombe (monument)
reptile;reptile
rescue equipment;équipement de sauvetage
rescuer;sauveteur
reservist;réserviste
reservoir;réservoir
residence;résidence
Rest Room;salle de repos
restaurant;restaurant
Restaurant Kitchen;cuisine de restaurant
Restaurant Patio;patio (restaurant)
restraint (chains);dispositif de contrainte (chaînes)
retail store;magasin de détail
retainer (dental);appareil de rétention (dentaire)
reticle (optical instrument);réticule (instrument optique)
reticulated python;python réticulé
reticule (handbag);réticule (sac à main)
retired person;personne retraitée
retort vessel;navire de guerre
retractor (surgical instrument);rétracteur (instrument chirurgical)
retriever dog;chien retriever
revolver gun;pistolet revolver
revolving door;porte tournante
rhesus monkey;singe rhésus
rhizopus;rhizopus (moisissure)
rhombus;rhombe
Rhone wine;rhône
ribbed vault;croisée d'ogives (voute)
rice;riz
rickshaw;pousse-pousse
rider (two wheeler);cascadeur (à deux-roues)
ridge;crête
riding;équitation
riding habit;amazone (équitation)
riding master (horse riding);maître d'équitation
riding mower;tondeuse autoportée
Riesling;riesling
rifle;fusil
rifleman;fusilier
rig (machinery);plate-forme (machines)
rigger brush;pinceau
rigging (tackle of sailing ship);gréement (voilier)
right triangle;triangle rectangle
ring;bague
ring-binder;reliure à anneaux
Riot;émeute
river boat;bateau mouche
riverbank;berge de rivière
riverbed;lit de rivière
road;route
road mender (construction);cantonnier
roadbed;ballast
robe;peignoir
robot;robot
rock;roche
Rock Arch;arche naturelle
rock drill;forage de roche
rock hyrax (hoofed mammal);daman des rochers
rock outcrop;affleurement rocheux
rock python;python de Seba
rock star;rock star
rocker arm;culbuteur
rocket;fusée
rocket engine;moteur de fusée
rocket launcher;lance-roquettes
rocking chair;fauteuil à bascule
rod;barre
rodent;rongeur
rodeo;rodeo
roll-on roll-off  (ship);roulier (navire)
roller (wheel);roller (roue)
roller blind;store
roller coaster;montagnes russes
roller skate;patin à roulettes
roller skating;roller
rollerblading;patins à roulettes
rolling stock;matériel roulant
Roman arch;arc romain
Roman building;bâtiment romain
rood screen (in church);jubé (église)
room;pièce
rooster;coq
roosters;coqs
root;racine
root beer;root beer (bière)
rope;corde
rope bridge;pont de corde
rope-a-dope (boxing);rope-a-dope (boxe)
roper (cowboy on horse);bottes de cow-boy
ropewalker;téléphérique
rose window;rosace
Rosicrucian statue;statue rosicrucienne
rotating mechanism;mécanisme rotatif
rotating shaft;arbre rotatif
rotavirus;rotavirus
rotisserie;rôtissoire
rotor;rotor
rotor blade;pale de rotor
rotunda (circular);rotonde
round arch;arc rond
round shape;forme ronde
roundel;rondeau
rowboat;canot à rames
rowel (wheel);molette (équitation)
rowing;aviron
rowing boat;canot à rames
royal mast (sailing ship);mât de perroquet (voilier)
royal tennis;jeu de paume
rubber band;élastique
rubber eraser;gomme
rug;couverture
rugby;rugby
rugby ball;ballon de rugby
ruin;ruine
ruler;règle
rum;rhum
rumble (of early car);rumble (voiture ancienne)
rumble seat (of early car);siège de coffre (voiture ancienne)
ruminant;ruminant
rummer (drinking glass);rummer (verre)
rundle;barreau (échelle)
runner;coureur
running;course
runway;piste de course
rush candle;chandelle à mèche
rut (furrow);ornière (sillon)
rya rug;tapis rya
saber (sword);sabre (épée)
sable brush;brosse en zibeline
sachet;sachet
sack coat;veston de complet
sacking;toile à sac
saddle;selle
saddle blanket;couverture de selle
saddle horse;cheval de selle
saddle shoe;saddle shoe (chaussure)
safe;coffre
safe-deposit;coffre-fort
safety arch;arc de décharge
safety bicycle;bicyclette de sécurité
safety lamp;lampe de mineur
safety match;allumette de sureté
safety pin;épingle de sûreté
safety rail;garde-fou
safety razor;rasoir de sûreté
safety valve;soupape de sécurité
sail;voile
sail (of boat);voile (de bateau)
Sail Wagon;char à voile
sailboat;voilier
sailfish;voilier (poisson)
Sailing;voile
sailing vessel;voilier
sailor cap;casquette de marin
sailor suit;costume marin
Saint Emilion;saint-émilion (vin)
sales booth;stand de vente
salesperson;vendeur
sallet (helmet);salade (casque)
salmon;saumon
saltbox;saltbox (maison)
Saltbox House;saltbox (maison)
salver (plate);plateau de métal
sambuca;sambuca (alcool)
samisen (stringed instrument);shamisen (instrument à cordes)
samovar urn;samovar
sand;sable
sand dune;dune de sable
sand trap;sable mouvant
sandbag;sac de sable
sandbox;bac à sable
sandglass;sablier
sandwich board;panneau publicitaire (homme-sandwich)
sanitation worker;éboueur
Santa Gertrudis cattle;Santa Gertrudis (bovin)
sarcophagus  coffin;sarcophage
sash fastener;loquet de fenêtre
satellite;satellite
satellite dish;antenne satellite
satellite television;télévision par satellite
sauna;sauna
sausage balloon;ballon saucisse
saw;scie
sawhorse;tréteau
sawmill;scierie
sax;saxo
saxhorn;saxhorn (instrument de musique)
scabbard;fourreau
scaffolding;échafaudage
scale;échelle
scalene triangle;triangle scalène
scaling ladder;échelle de siège
scallop shell;coquille Saint-Jacques
scalpel;scalpel
scaly anteater;pangolin
scaphopod  (animal with a shell);scaphopode (mollusque)
scapular of bird;scapulaire (oiseau)
scarf;écharpe
scatter rug;carpette
schipperke dog;schipperke (chien)
Schmidt telescope;télescope Schmidt
scholar;savant
school;école
school newspaper;journal de classe
schoolchild;écolier
schoolmate;camarade de classe
schooner;goélette
Science Museum;musée des sciences
scientific instrument;instrument scientifique
scombroid fish;poisson scombroïde
sconce (lighting);applique (éclairage)
scoreboard;tableau d'affichage
scorpaenoid;scorpion
Scotch whiskey;whisky écossais
Scottish deerhound dog;lévrier écossais (Scottish deerhound)
scouring pad;tampon à récurer
scoutmaster;chef scout
scraper;grattoir
screen;écran
screen door;moustiquaire
screw;vis
screw propeller;hélic
screw wrench;clé à vis
screwtop;couvercle à visser
scrub brush;brosse à récurer
scrubber;épurateur
scrubland;brousse
scull (boat);skiff (bateau)
sculling (rowing);aviron
sculptor;sculpteur
sculpture;sculpture
sea boat;bateau de mer
sea chest;coffre de marin
sea lamprey (aquatic animal);lamproie marine
seabag;sac de marin
seabird;oiseau de mer
seal;joint
seaplane;hydravion
searchlight;projecteur
seashore;rivage
seaside;bord de mer
seat;siège
second lieutenant;sous-lieutenant
second-in-command;commandant en second
seed;graine
seeder;semoir
segmental arch;arc surbaissé
Segway Human Transporter;Segway
seismograph;sismographe
selector switch;sélecteur
self-propelled vehicle;véhicule automoteur
seller;vendeur
semaphore;sémaphore
semiconductor device;dispositif à semi-conducteur
semigloss;satiné
senior adult;personne agée
senior citizen;personne âgée
senior person;personne âgée
sentry box;guérite
septic tank;fosse septique
sequence of shots;séquence de prises de vue
sequencer (apparatus);séquenceur (appareil)
serape (shawl);sarape (châle)
serger (sewing);surjeteuse (couture)
serval cat;chat serval
server (computer);serveur (ordinateur)
serviceman;militaire
settee (bench);canapé (banc)
setter dog;setter (chien)
seventy-eight (record);78 tours (disque)
sewage disposal plant;station d'épuration
sewer;égout
sewing basket;panier à couture
sewing kit;kit de couture
sewing machine;machine à coudre
sewing needle;aiguille à coudre
sextant;sextant
shading;ombres
shadow box;caisse américaine (cadre)
shaft;rayon de lumière
shag rug;tapis
shaping machine;machine-outil
shark;requin
shaving brush;blaireau
shaving cream;crème à raser
sheath;gaine
shed;cabanon
sheep;mouton
sheep-tick;tique de mouton
sheepskin coat;manteau en peau de mouton
sheet pile;pile de linge
Sheetrock;panneau de plâtre
shelf;étagère
shelf bracket;support d'étagère
shellfish;fruits de mer
shelter;abri
shepherd dog;chien de berger
shepherd's crook a (stick);bâton de berger
shield;bouclier
shift key;touche majuscule
shinny (hockey);hockey de rue
ship;navire
shipmate;compagnon de bord
shipwreck;naufrage
shock absorber;amortisseur
shoe;chaussure
shoe polisher;cireuse à chaussures
shoe shop;magasin de chaussures
shoebox;boîte à chaussures
shoes;chaussures
shofar (musical horn);shofar (cor musical)
shoji (screen);shoji (écran)
shop;boutique
shop steward;délégué syndical
shopping bag;sac de courses
shopping cart;chariot
shore;rive
shorebird;oiseau de rivage
shoreline;littoral
shorts;shorts
shot glass;verre à liqueur
shot tower;tour à plomb
shoulder bag;sac d'épaule
shoulder patch;écusson d'épaule
shouldered arch;arc en plate-bande
shovel;pelle
showboat;barque
shower;douche
shower curtain;rideau de douche
shower room;salle de bain
shower stall;cabine de douche
showjumping;saut d'obstacles
shredder;déchiqueteuse à papier
shrimper (vessel);chalutier à crevettes
shuffleboard;jeu de palet
Siberian husky dog;husky sibérien (chien)
sibling;frères et soeurs
sickbay;infirmerie
sickbed;lit de malade
sickle;faucille
sickle feather;plume de queue de coq
sickroom;chambre de malade
sideboard;buffet
sidecar;side-car
sidesaddle;selle de dame (équitation)
sidewalk;trottoir
sifter;tamis
sights;attractions monuments
sign;signe
signal box;poste d'aiguillage
signboard;enseigne
silo;silo
silver screen;grand écran (cinéma)
silverfish insect;poisson d'argent (insecte)
silverpoint;pointe d'argent
simple pendulum;pendule simple
singer;chanteur
single propeller plane;avion à hélice simple
single-breasted jacket;veste simple boutonnage
single-breasted suit;costume simple boutonnage
single-reed instrument;instrument à anche unique
sinkhole;gouffre
sister;soeur
sister ship;navire-jumeau
sitar;sitar
sitar player;joueur de sitar
skate;patin
Skate Park;skate park
skateboard;planche à roulette
skateboarder;skateur
skateboarding;planche à roulettes
skating;patinage
skating rink;patinoire
skeleton key;passe-partout
skew arch;arc oblique
ski;ski
skibob;skibob
ski jumping;saut à ski
ski lift;remontées mécaniques
ski lodge;chalet de ski
ski resort;station de ski
ski slope;piste de ski
skiff;skiff
skiing;ski
skin;peau
skin-diver;plongeur
skirt;jupe
skulls;crâne
sky;ciel
skyscraper;gratte-ciel
slacks;pantalon
slate;ardoise
slate roof;toit en ardoise
sled;traîneau
sled dog;chien de traineau
sledding;traîneau
sledgehammer;marteau
sleeper;pantoufle
sleeping car;voiture-lit
sleeve;manche
slicer;trancheuse
slick magazine;magazine
slide rule;règle à calcul
sliding door;porte coulissante
sliding window;fenêtre coulissante
slip ring;bague collectrice
slip-on;chaussure sans lacets
slit lamp;biomicroscope (lampe à fente)
slit trench;tranchée
sloop (sailing ship);sloop (voilier)
slope;pente
slot machine;machine à sous
sluice;écluse
small boat;petit bateau
small stores;échoppes
smelling bottle;bouteille à parfum
smoke screen;écran de fumée
smokehouse;fumoir
smoking carriage;voiture fumeurs
snaffle bit;mors de filet
snag;bois mort
snake;serpent
snap fastener;bouton-pression
snare;piège collet
snare drum;caisse claire
sniper rifle;fusil de sniper
Sno-cat snowmobil;motoneige
snow;neige
snow goose;oie des neiges
snow gum;gommier des neiges
Snow Scene;scène de neige
snow thrower;souffleuse à neige
snowbank;banc de neige
snowdrift;congère
snowfield;champ de neige
snowmobile;motoneige
snowplow;chasse-neige
snowshoe;raquette
Snowy Mountains;Snowy Mountains
snuffbox;tabatière
snuffer (for candles);éteignoir à bougie
soap dispenser;distributeur de savon
soapfish;poisson savon
soccer;football
soccer (football) player;joueur de football
soccer player;joueur de foot
Soccer Stadium;stade de football
social gathering;rassemblement social
sociologist;sociologue
socket;prise
socle;socle
sod house;maison en terre
soda fountain;fontaine à soda
soda server;distributeur de soda
sofa;canapé
soft drink;boisson non-alcoolisée
soil horizon;horizon (sol)
solar dish;parabole solaire
soldier;soldat
soldier wearing beret;soldat portant un béret
sombrero (hat);sombrero (chapeau)
sonogram;sonogramme
sonograph;sonographe
sorus;sores (fougère)
souchong;souchong (thé)
souk (market);souk (marché)
soul patch facial hair;barbiche
sounding board;table d'harmonie
sour mash whiskey;whisky
sovereign;souverain
space capsule;capsule spatiale
space helmet;casque de spationaute
space lander;atterrisseur spatial
space rocket;fusée spatiale
space shuttle;navette spatiale
spacecraft;vaisseau spatial
spacesuit;scaphandre
spade;bêche
spade bit;mèche plate
spaghetti junction;échangeur routier
spaniel dog;épagneul (chien)
Spanish mackerel;thazard atlantique
spanker;brigantine
spark arrester;pare-étincelles
spark plug;bougie d'allumage
spark transmitter;émetteur d'étincelle
sparring;sparring
sparring partner;partenaire d'entraînement
speaker;orateur
spear;lance
spectator;spectateur
speculum  (medical instrument);spéculum (instrument médical)
speed bump;ralentisseur
sphenisciform seabird;pingouin
sphere;sphère
spherule;sphérule
sphinx;sphinx
spider;araignée
spider web;toile d'araignée
spin dryer;essoreuse
spinning jenny;Spinning Jenny (machine à filer)
spinning machine;machine à filer
spinning wheel;rouet
spiny-finned fish;poissons à nageoires rayonnées
spirillum (bacteria);spirillum (bactéries)
spirit stove;réchaud à alcool
spirochete (bacteria);spirochète (bactéries)
Spode (porcelian);Spode (porcelaine)
spoon;cuillère
spoor;trace
sporozoite (organism);sporozoïte (organisme)
sporran pouch;sporran (sacoche)
sport;sport
sport kite;cerf-volant de sport
sports equipment;équipement sportif
sports implement;matériel de sport
sports stadium;stade sportif
Sports Track;piste de sport
spotlight;projecteur
spotted eagle ray;raie léopard
spouter;jet
spring;ressort
spring balance;balance à ressort
springer spaniel dog;Springer anglais (chien)
sprinkler;arroseur automatique
sprinter;sprinter
spritsail (sail boat);spritsail (voile)
sprocket;pignon
sprocket wheel;roue à pignon
spruce bark beetle;bostryche typographe (insecte)
spume (froth);écume
spur (for horse rider);éperon (de cavalier)
sputnik;spoutnik
square;carré
square dancer;danse carrée
squash;squash
squash racket;raquette de squash
squeegee (cleaning equipment);raclette (nettoyage)
squinch (arch);trompe (voute)
squirrel;écureuil
stabilizer;stabilisateur
stable;écurie
stable gear;équipement (équitation)
stacks;piles
staff sergeant;sergent-chef
Staffordshire bullterrier dog;Staffordshire Bullterrier (chien)
stag;cerf
stage;scène
stagecoach;diligence
stained-glass window;vitrail
stair;escalier
stair-carpet;tapis d'escalier
Staircase;escalier
stairwell;cage d'escalier
stall;stalle
stallion;étalon
stalwart;stalwart (véhicule militaire)
stamp;timbre
stamp battery;bocard (outil)
stand;stand
standing stone;pierre levée
stanhopea;stanhopea (orchidée)
Stanley Steamer (steam powered automobile);Stanley Steamer (automobile à vapeur)
star;étoile
starter;starter
starting gate;grille de départ
Statehouse;bâtiment officiel
stately home;maison seigneuriale
station;station
statue;statue
stay;étai (câble)
staysail (of sailboat);voile d'étai
steak knife;couteau à steak
steakhouse;steakhouse (restaurant)
stealth aircraft;avion furtif
stealth bomber;bombardier furtif
stealth fighter;chasseur furtif
steam bath;bain de vapeur
steam boiler;chaudière à vapeur
steam engine;machine à vapeur
steam locomotive;locomotive à vapeur
steam shovel;pelle à vapeur
steam whistle;sifflet à vapeur
steamroller;rouleau compresseur
steamship;navire à vapeur
steel arch bridge;pont en arc en acier
steel drum;steel drum (instrument)
steel mill;aciérie
steelyard;balance romaine
steeple;clocher
steeplechaser horse;cheval de steeple
steerage;entrepont
stegosaur (dinosaur);stégosaure (dinosaure)
stele (stone slab with markings);stèle (dalle avec inscriptions)
stem-winder;montre à remontoir
stemma;blason
stencil;pochoir
stenograph;sténographe
stentor (organism);stentor (organisme)
step-down transformer;transformateur électrique
steppe;steppe
stern chaser (navy ship gun);pièce de chasse (canon de navire)
sternwheeler (ship);bateau à roues à aubes
steward;steward
stick;bâton
stickball (baseball);stickball (baseball)
stile (wooden upright object);échelle de franchissement
stilt;pilotis
stink bomb;boule puante
stirrup iron (for horse);étrier en fer (cheval)
stockroom;magasin
stocks;stocks
stone curlew (nocturnal shorebird);courlis cendré (limicole)
stone wall;mur de pierre
stonework;ouvrage en pierre
stool;tabouret
stoop;perron
stopwatch;chronomètre
storage tank;réservoir de stockage
storage warehouse;entrepôt de stockage
Storm;orage
storm cellar;cave refuge
storm door;porte tempête
storm petrel;pétrel-tempête
storm window;fenêtre tempête
stoup (vessel);bénitier
stove;poêle
stovepipe;tuyau de poêle
strainer;passoire
straitjacket;camisole de force
strand;rivage
strap hinge;charnière
strategist;stratège
streamer fly;mouche (pêche)
street;rue
street clothes;vêtements de rue
street sign;panneau de signalisation
streetcar;tramway
streetlight;éclairage public
streptobacillus (bacteria);streptobacilles (bactéries)
stretcher;tendeur
stringed instrument;instrument à cordes
stringer (wooden);limon (bois)
strip lighting;rampe d'éclairage
striped skunk;moufette rayée (mammifère)
strolling;promenade
strongbox;coffre-fort
stronghold;bastion
strongroom;chambre forte
structural member;ossature
structure;structure
stubble;chaume
stucco;stuc
stud mare;haras
student nurse;élève infirmière
studio couch;canapé
study;salle d'étude
study hall;salle d'étude
sturgeon;esturgeon
subarachnoid space;méninges
submachine gun;mitraillette
submarine;sous-marin
submersible;submersible
submersible warship;navire de guerre submersible
Substation;sous-station
Subway Platform;plate-forme de métro
Subway Station Platform;plate-forme de métro
subway token;jeton de métro
subway train;métro
suede cloth;daim (tissu)
suffragette;suffragette
suit of clothes;costume
sulky (two wheeled horse drawn vehicle);sulky (véhicule hippomobile)
sumo;sumo
sumo ring;ring de sumo
sump pump;pompe de puisard
sun deck;solarium
sun parlor;solarium
sunbather;bain de soleil
sunbonnet;capeline
Sunday best;habits du dimanche
sundial;cadran solaire
sundog (parhelion);soleil double (parhélie)
sunniness;ensoleillement
sunshade;parasol
superhighway;autoroute
supermarket;supermarché
supermarket (hypermarket);hypermarché
superstructure;superstructure
supertanker;supertanker
support;support
support column;colonne de soutien
supporting structure;structure porteuse
supporting tower;tour de soutien
surf casting (fishing);surf casting (pêche)
surface search radar;radar de recherche de surface
surface-to-air missile;missile sol-air
Surfboard;planche de surf
surfboat;surfboat (embarcation)
surfing;surf
surgeon;chirurgien
surgery;chirurgie
surgical instrument;instrument chirurgical
surgical knife;scalpel
surrey (horse drwn cart);surrey (charrette à cheval)
surveying instrument;instrument d'arpentage
surveyor;arpenteur
sushi bar;bar à sushi
suspender;jarretelle
suspension bridge;pont suspendu
swallow;passereau
swallow-tailed coat;manteau à queue d'hirondelle
swamp;marais
swan;cygne
swastika;svastika
sweatband;bandeau transpiration
sweater;chandail
sweatshop;atelier clandestin
sweeper;balayeur de rue
sweet;sucrerie
sweetheart;chérie
swell (elevation in oceanfloor);houle (océan)
swimming;nage
swimsuit;maillot de bain
swine;cochon
swing;balançoire
swing door;porte battante
sword;épée
synagogue;synagogue
synchronous converter;convertisseur synchrone
synchronous motor;moteur synchrone
synthesizer (music);synthétiseur (musique)
system;système
T-shirt;T-shirt
T-square;équerre en T
table;table
table knife;couteau de table
table saw;scie sur table
table-tennis table;table de ping-pong
tablefork;fourchette
tableware;vaisselle
tabloid;tabloïd
tachina fly;tachinaire (mouche)
tack;clou
tadpole;têtard
tail rotor (of helicopter);rotor de queue (hélicoptère)
tailstock (of lathe);poupée mobile (de tour)
talus (rock at base of cliff);talus (rocher)
tam (wollen cap);tam (béret)
tambour (drum);tambour
tank car;wagon-citerne
tank destroyer;chasseur de chars
tank driver;conducteur de char
tank engine;locomotive-tender
tankard;chope
tannoy (loud speaker);haut-parleur
tap;robinet
tapa (fabric);tapa (tissu d'écorce)
tape deck;magnétophone
tape measure;mètre à ruban
tape player;lecteur de cassettes
tapestry;tapisserie
tapeworm;ténia
tarantula;tarentule
target;cible
tarmac;macadam
Tarzan;Tarzan
Tasmanian wolf;loup de Tasmanie
tattoo;tatouage
tautog;tautoga (poisson)
tavern;taverne
tea;thé
tea bag;sachet de thé
tea ball;boule à thé
tea caddy;boîte à thé
tea cosy;théière
tea gown;robe d'après-midi
tea table;table mise pour le thé
tea urn;grande bouilloire
tea-strainer;passoire à thé
teacher;professeur
teakettle;bouilloire
team sport;sport d'équipe
teapot;théière
tear gas;gaz lacrymogène
technician;technicien
tee hinge;charnière en té
teju lizard;tégus (lézard)
telecommunication;télécommunication
telecommunication system;système de télécommunication
telegraph;télégraphe
telegraph key;manipulateur morse
telegraphy;télégraphie
telephone;téléphone
telephone bell;téléphone Bell
telephone booth;cabine téléphonique
telephone call;appel téléphonique
telephone dial;cadran téléphonique
telephone jack;prise téléphonique
telephone line;ligne téléphonique
telephone pole;centrale téléphonique
telephone receiver;récepteur téléphonique
telescope;télescope
telescopic sight;lunette de visée
teletypewriter;téléscripteur
television;télévision
television antenna;antenne de télévision
television camera;caméra de télévision
television room;salle de télévision
Television Studio;studio de télévision
telpherage (car lift);télépherage
temple;temple
tenement house;immeuble d'habitation
Tennessee walking horse;Tennessee Walker (cheval)
tennis;tennis
tenor saxophonist (musician);saxophoniste ténor (musicien)
tent;tente
tent peg;piquet de tente
tepee (tent);tipi (tente)
tequila;tequila
terra cotta;terre cuite
terraced house;maison mitoyenne
terrier dog;Terrier (chien)
tessera (mosiac stones);tesselle (mosaïque)
tetherball (ball game);spiroballe (jeu)
tetrahedron;tétraèdre
tetraskelion;tétraskèle
tetraskelion decoration;décoration tétraskèle
tetrode tube;tube tétrode
Texas horned lizard;crapaud cornu (lézard)
Texas Ranger;Texas Ranger
textile machine;machine textile
textile mill;usine textile
thatch;chaume
thatched roof;toit de chaume
theater curtain;rideau de théâtre
theatre;théâtre
theodolite surveying instrument;théodolite (instrument d'arpentage)
theremin (music instrument);thérémine (instrument de musique)
thermograph;thermographe
thermometer;thermomètre
thermonuclear reactor;réacteur thermonucléaire
thermostat;thermostat
thill (carraige);brancard (attelage)
thimble;dé à coudre
Thomson's gazelle;gazelle de Thomson
